original_title,cast,director,is_novel_based,runtime,genres,production_companies,release_month,release_year,budget_adj,revenue_adj,profit
Spectre,Daniel Craig|Christoph Waltz|LÃ©a Seydoux|Ralph Fiennes|Monica Bellucci,Sam Mendes,yes,148.0,Action,Columbia Pictures|Danjaq|B24,10,2015,225399900.0,810220283.0,584820383.0
Jupiter Ascending,Mila Kunis|Channing Tatum|Sean Bean|Eddie Redmayne|Douglas Booth,Lana Wachowski|Lilly Wachowski,no,124.0,Science Fiction,Village Roadshow Pictures|Dune Entertainment|Anarchos Productions|Warner Bros.,2,2015,161919931.0,169268630.0,7348699.0
Ex Machina,Domhnall Gleeson|Alicia Vikander|Oscar Isaac|Sonoya Mizuno|Corey Johnson,Alex Garland,no,108.0,Drama,DNA Films|Universal Pictures International (UPI)|Film4,1,2015,13799993.0,33919845.0,20119852.0
Pixels,Adam Sandler|Michelle Monaghan|Peter Dinklage|Josh Gad|Kevin James,Chris Columbus,no,105.0,Action,Columbia Pictures|Happy Madison Productions,7,2015,80959964.0,224146025.0,143186061.0
Avengers: Age of Ultron,Robert Downey Jr.|Chris Hemsworth|Mark Ruffalo|Chris Evans|Scarlett Johansson,Joss Whedon,no,141.0,Action,Marvel Studios|Prime Focus|Revolution Sun Studios,4,2015,257599886.0,1292632337.0,1035032451.0
The Hateful Eight,Samuel L. Jackson|Kurt Russell|Jennifer Jason Leigh|Walton Goggins|DemiÃ¡n Bichir,Quentin Tarantino,no,167.0,Crime,Double Feature Films|The Weinstein Company|FilmColony,12,2015,40479982.0,143299244.0,102819262.0
Taken 3,Liam Neeson|Forest Whitaker|Maggie Grace|Famke Janssen|Dougray Scott,Olivier Megaton,no,109.0,Crime,Twentieth Century Fox Film Corporation|M6 Films|Canal+|EuropaCorp|CinÃ©+,1,2015,44159980.0,299709578.0,255549598.0
Ant-Man,Paul Rudd|Michael Douglas|Evangeline Lilly|Corey Stoll|Bobby Cannavale,Peyton Reed,no,115.0,Science Fiction,Marvel Studios,7,2015,119599947.0,477113780.0,357513833.0
Cinderella,Lily James|Cate Blanchett|Richard Madden|Helena Bonham Carter|Holliday Grainger,Kenneth Branagh,no,112.0,Romance,Walt Disney Pictures|Genre Films|Beagle Pug Films|Allison Shearmur Productions,3,2015,87399961.0,498963025.0,411563064.0
The Hunger Games: Mockingjay - Part 2,Jennifer Lawrence|Josh Hutcherson|Liam Hemsworth|Woody Harrelson|Elizabeth Banks,Francis Lawrence,no,136.0,War,Studio Babelsberg|StudioCanal|Lionsgate|Walt Disney Studios Motion Pictures|Color Force,11,2015,147199935.0,598481289.0,451281354.0
Tomorrowland,Britt Robertson|George Clooney|Raffey Cassidy|Thomas Robinson|Hugh Laurie,Brad Bird,no,130.0,Action,Walt Disney Pictures|Babieka|A113,5,2015,174799923.0,192312729.0,17512806.0
Southpaw,Jake Gyllenhaal|Rachel McAdams|Forest Whitaker|Oona Laurence|50 Cent,Antoine Fuqua,no,123.0,Action,Escape Artists|Riche-Ludwig Productions,6,2015,27599987.0,84373003.0,56773016.0
San Andreas,Dwayne Johnson|Alexandra Daddario|Carla Gugino|Ioan Gruffudd|Archie Panjabi,Brad Peyton,no,114.0,Action,New Line Cinema|Village Roadshow Pictures|Warner Bros.|Flynn Picture Company,5,2015,101199955.0,432851375.0,331651420.0
Fifty Shades of Grey,Dakota Johnson|Jamie Dornan|Jennifer Ehle|Eloise Mumford|Victor Rasuk,Sam Taylor-Johnson,yes,125.0,Drama,Focus Features|Trigger Street Productions|Michael De Luca Productions,2,2015,36799983.0,524079119.0,487279136.0
The Big Short,Christian Bale|Steve Carell|Ryan Gosling|Brad Pitt|Melissa Leo,Adam McKay,no,130.0,Comedy,Paramount Pictures|Plan B Entertainment|Regency Enterprises,12,2015,25759988.0,122678731.0,96918743.0
Mission: Impossible - Rogue Nation,Tom Cruise|Jeremy Renner|Simon Pegg|Rebecca Ferguson|Ving Rhames,Christopher McQuarrie,no,131.0,Action,Paramount Pictures|Skydance Productions|China Movie Channel|Bad Robot|TC Productions,7,2015,137999939.0,627743451.0,489743512.0
Ted 2,Mark Wahlberg|Seth MacFarlane|Amanda Seyfried|Jessica Barth|Giovanni Ribisi,Seth MacFarlane,no,115.0,Comedy,Universal Pictures|Media Rights Capital|Fuzzy Door Productions,6,2015,62559972.0,198594430.0,136034458.0
Kingsman: The Secret Service,Taron Egerton|Colin Firth|Samuel L. Jackson|Michael Caine|Mark Strong,Matthew Vaughn,no,130.0,Crime,Twentieth Century Fox Film Corporation|Marv Films|TSG Entertainment|Cloudy Productions,1,2015,74519967.0,371497801.0,296977834.0
Spotlight,Mark Ruffalo|Michael Keaton|Rachel McAdams|Liev Schreiber|John Slattery,Tom McCarthy,no,128.0,Drama,Participant Media|Open Road Films|Anonymous Content|Rocklin / Faust|Entertainment One Features,11,2015,18399991.0,81278719.0,62878728.0
Maze Runner: The Scorch Trials,Dylan O'Brien|Kaya Scodelario|Thomas Brodie-Sangster|Giancarlo Esposito|Aidan Gillen,Wes Ball,yes,132.0,Action,Gotham Group|Temple Hill Entertainment|TSG Entertainment,9,2015,56119975.0,286356245.0,230236270.0
Mr. Holmes,Ian McKellen|Milo Parker|Laura Linney|Hattie Morahan|Patrick Kennedy,Bill Condon,no,103.0,Mystery,BBC Films|See-Saw Films|FilmNation Entertainment|Archer Gray|AI-Film,6,2015,21307490.712324023,27006774.0,5699283.287675977
Chappie,Sharlto Copley|Dev Patel|Ninja|Yolandi Visser|Jose Pablo Cantillo,Neill Blomkamp,no,120.0,Crime,Columbia Pictures|Media Rights Capital|Sony Pictures Entertainment (SPE)|Alpha Core|Genre Films,3,2015,45079980.0,93903685.0,48823705.0
Pitch Perfect 2,Anna Kendrick|Rebel Wilson|Hailee Steinfeld|Brittany Snow|Skylar Astin,Elizabeth Banks,no,115.0,Comedy,Universal Pictures|Gold Circle Films|Brownstone Productions,5,2015,26679988.0,264505582.0,237825594.0
Bridge of Spies,Tom Hanks|Mark Rylance|Amy Ryan|Alan Alda|Sebastian Koch,Steven Spielberg,no,141.0,Thriller,DreamWorks SKG|Amblin Entertainment|Studio Babelsberg|Fox 2000 Pictures|Marc Platt Productions,10,2015,36799983.0,149601569.0,112801586.0
Goosebumps,Jack Black|Dylan Minnette|Odeya Rush|Amy Ryan|Jillian Bell,Rob Letterman,yes,103.0,Adventure,Columbia Pictures|Original Film|Scholastic Entertainment,8,2015,53359976.0,138157089.0,84797113.0
Room,Brie Larson|Jacob Tremblay|Joan Allen|Sean Bridgers|William H. Macy,Lenny Abrahamson,yes,117.0,Drama,Element Pictures|No Trace Camping|A24|Duperele Films,10,2015,5519997.0,32569603.0,27049606.0
Solace,Abbie Cornish|Jeffrey Dean Morgan|Colin Farrell|Anthony Hopkins|Marley Shelton,Afonso Poyart,no,101.0,Crime,Eden Rock Media|FilmNation Entertainment|Flynn Picture Company,9,2015,21307490.712324023,20566197.0,-741293.7123240232
The Good Dinosaur,Raymond Ochoa|Jack Bright|Jeffrey Wright|Frances McDormand|Maleah Nipay-Padilla,Peter Sohn,no,93.0,Adventure,Walt Disney Pictures|Pixar Animation Studios|Buena Vista,11,2015,160999929.0,305371920.0,144371991.0
Run All Night,Liam Neeson|Ed Harris|Joel Kinnaman|Boyd Holbrook|Bruce McGill,Jaume Collet-Serra,no,114.0,Action,Vertigo Entertainment|Energy Entertainment|RatPac-Dune Entertainment,3,2015,45999979.0,65836683.0,19836704.0
Brooklyn,Saoirse Ronan|Domhnall Gleeson|Emory Cohen|Emily Bett Rickards|Eileen O'Higgins,John Crowley,yes,111.0,Drama,Wildgaze Films|Irish Film Board|Item 7|Parallel Film Productions,11,2015,10119995.0,57110024.0,46990029.0
Straight Outta Compton,O'Shea Jackson Jr.|Corey Hawkins|Jason Mitchell|Neil Brown Jr.|Aldis Hodge,F. Gary Gray,no,147.0,Drama,New Line Cinema|Universal Pictures|Legendary Pictures|Cube Vision|Broken Chair Flickz,8,2015,25759988.0,185504110.0,159744122.0
The Last Witch Hunter,Vin Diesel|Rose Leslie|Michael Caine|Elijah Wood|Ã“lafur Darri Ã“lafsson,Breck Eisner,no,106.0,Fantasy,Summit Entertainment|Atmosphere Entertainment MM|One Race Films|Goldmann Pictures|NeoReel,10,2015,82799963.0,129164861.0,46364898.0
Steve Jobs,Michael Fassbender|Kate Winslet|Seth Rogen|Katherine Waterston|Jeff Daniels,Danny Boyle,no,122.0,History,Universal Pictures|Scott Rudin Productions|Legendary Pictures|The Mark Gordon Company|Management 360,10,2015,27599987.0,31686509.0,4086522.0
The Man from U.N.C.L.E.,Henry Cavill|Armie Hammer|Alicia Vikander|Elizabeth Debicki|Luca Calvani,Guy Ritchie,no,116.0,Comedy,Davis Entertainment|Warner Bros.|Wigram Productions|RatPac-Dune Entertainment,8,2015,68999969.0,99493456.0,30493487.0
The Age of Adaline,Blake Lively|Michiel Huisman|Harrison Ford|Ellen Burstyn|Kathy Baker,Lee Toland Krieger,no,112.0,Fantasy,Lakeshore Entertainment|Sidney Kimmel Entertainment|Sierra/Affinity,4,2015,22999989.0,39219376.0,16219387.0
Hardcore Henry,Sharlto Copley|Haley Bennett|Danila Kozlovskiy|Tim Roth|Andrei Dementiev,Ilya Naishuller,no,97.0,Action,Bazelevs Production|Versus Pictures,9,2015,9199995.0,13187081.0,3987086.0
Home,Jim Parsons|Rihanna|Steve Martin|Jennifer Lopez|Matt Jones,Tim Johnson,no,94.0,Fantasy,Twentieth Century Fox Film Corporation|DreamWorks Animation,3,2015,124199945.0,339361177.0,215161232.0
Paper Towns,Nat Wolff|Cara Delevingne|Halston Sage|Justice Smith|Austin Abrams,Jake Schreier,no,109.0,Drama,Fox 2000 Pictures,7,2015,11039995.0,78671281.0,67631286.0
Wild Card,Jason Statham|Michael Angarano|Milo Ventimiglia|Dominik GarcÃ­a-Lorido|Anne Heche,Simon West,no,92.0,Thriller,Current Entertainment|Lionsgate|Sierra / Affinity|SJ Heat Productions|Silver State Production Services,1,2015,27599987.0,63624403.5851604,36024416.5851604
The Lobster,Colin Farrell|Rachel Weisz|LÃ©a Seydoux|John C. Reilly|Ben Whishaw,Yorgos Lanthimos,no,118.0,Thriller,Haut et Court|Eurimages|Lemming Film|Element Pictures|Nederlands Fonds voor de Film,10,2015,3679998.0,8339346.0,4659348.0
Carol,Cate Blanchett|Rooney Mara|Kyle Chandler|Sarah Paulson|Jake Lacy,Todd Haynes,no,118.0,Romance,Killer Films|Film4|Number 9 Films,11,2015,10855995.0,37050347.0,26194352.0
The Intern,Robert De Niro|Anne Hathaway|Rene Russo|Anders Holm|JoJo Kushner,Nancy Meyers,no,121.0,Comedy,Waverly Films|Warner Bros.,9,2015,32199985.0,178999419.0,146799434.0
Everest,Jason Clarke|Jake Gyllenhaal|Josh Brolin|John Hawkes|Sam Worthington,Baltasar KormÃ¡kur,no,121.0,Adventure,Universal Pictures|Working Title Films|Walden Media|Cross Creek Pictures|Free State Pictures,9,2015,50599977.0,187153294.0,136553317.0
Joy,Jennifer Lawrence|Bradley Cooper|Robert De Niro|Dascha Polanco|Edgar RamÃ­rez,David O. Russell,no,124.0,Comedy,Fox 2000 Pictures|Davis Entertainment|Annapurna Pictures|TSG Entertainment,12,2015,55199975.0,93043293.0,37843318.0
Point Break,Edgar RamÃ­rez|Luke Bracey|Teresa Palmer|Delroy Lindo|Ray Winstone,Ericson Core,no,114.0,Action,Studio Babelsberg|Alcon Entertainment|DMG Entertainment|Ehman Productions,12,2015,96599957.0,123021160.0,26421203.0
Burnt,Bradley Cooper|Sienna Miller|Lily James|Alicia Vikander|Uma Thurman,John Wells,no,100.0,Drama,Double Feature Films|PeaPie Films|3 Arts Entertainment,10,2015,18399991.0,33678188.0,15278197.0
Self/less,Ryan Reynolds|Ben Kingsley|Natalie Martinez|Matthew Goode|Michelle Dockery,Tarsem Singh,no,116.0,Science Fiction,Endgame Entertainment|Ram Bergman Productions,7,2015,23919989.0,28081355.0,4161366.0
Mortdecai,Johnny Depp|Gwyneth Paltrow|Ewan McGregor|Paul Bettany|Olivia Munn,David Koepp,yes,106.0,Comedy,Lionsgate|Mad Chance|OddLot Entertainment|Huayi Brothers Media,1,2015,55199975.0,27985062.0,-27214913.0
The Danish Girl,Eddie Redmayne|Alicia Vikander|Matthias Schoenaerts|Amber Heard|Ben Whishaw,Tom Hooper,no,120.0,Drama,Pretty Pictures|Working Title Films|ArtÃ©mis Productions|Le Tax Shelter du Gouvernement FÃ©dÃ©ral de Belgique|Taxshelter. be,11,2015,13799993.0,59056175.0,45256182.0
Blackhat,Chris Hemsworth|Leehom Wang|Tang Wei|Viola Davis|Holt McCallany,Michael Mann,no,133.0,Mystery,Universal Pictures|Forward Pass|Legendary Pictures,1,2015,64399971.0,16332697.0,-48067274.0
Sicario,Emily Blunt|Benicio del Toro|Josh Brolin|Victor Garber|Jon Bernthal,Denis Villeneuve,no,121.0,Action,Lionsgate|Thunder Road Pictures|Black Label Media,9,2015,27599987.0,77303716.0,49703729.0
Fantastic Four,Miles Teller|Kate Mara|Michael B. Jordan|Jamie Bell|Toby Kebbell,Josh Trank,no,100.0,Action,Twentieth Century Fox Film Corporation|Marv Films|Marvel Entertainment|Constantin Film.|Moving Picture Company (MPC),8,2015,110399952.0,154539320.0,44139368.0
The Witch,Anya Taylor-Joy|Ralph Ineson|Kate Dickie|Harvey Scrimshaw|Ellie Grainger,Robert Eggers,no,92.0,Mystery,Parts and Labor|RT Features|Rooks Nest Entertainment|Maiden Voyage Pictures|Pulse Films,3,2015,3219998.0,37190013.0,33970015.0
Spy,Melissa McCarthy|Jason Statham|Rose Byrne|Miranda Hart|Bobby Cannavale,Paul Feig,no,120.0,Action,Twentieth Century Fox Film Corporation|Chernin Entertainment|Feigco Entertainment,5,2015,59799973.0,216812826.0,157012853.0
Focus,Will Smith|Margot Robbie|Rodrigo Santoro|Robert Taylor|Gerald McRaney,Glenn Ficarra|John Requa,no,105.0,Romance,Kramer & Sigman Films|RatPac-Dune Entertainment|Zaftig Films,2,2015,46091979.0,141645863.0,95553884.0
Hitman: Agent 47,Rupert Friend|Zachary Quinto|Hannah Ware|Emilio Rivera|Rolf Kanies,Aleksander Bach,no,96.0,Action,Twentieth Century Fox Film Corporation|Fox International Productions|Infinite Frameworks Studios|TSG Entertainment,8,2015,32199985.0,75759810.0,43559825.0
In the Heart of the Sea,Chris Hemsworth|Benjamin Walker|Cillian Murphy|Brendan Gleeson|Ben Whishaw,Ron Howard,no,122.0,Thriller,Imagine Entertainment|Spring Creek Productions|Warner Bros.|Roth Films|K. JAM Media,11,2015,91999959.0,86315059.0,-5684900.0
Survivor,Pierce Brosnan|Milla Jovovich|Dylan McDermott|Angela Bassett|Robert Forster,James McTeigue,no,96.0,Crime,Nu Image Films|Winkler Films|Millennium Films|Survivor Productions,5,2015,18399991.0,63624403.5851604,45224412.5851604
Creed,Michael B. Jordan|Sylvester Stallone|Graham McTavish|Tessa Thompson|Phylicia RashÄd,Ryan Coogler,no,133.0,Drama,New Line Cinema|Warner Bros.|Metro-Goldwyn-Mayer (MGM)|Chartoff-Winkler Productions,11,2015,32199985.0,126900665.0,94700680.0
Trainwreck,Amy Schumer|Bill Hader|Brie Larson|Colin Quinn|Vanessa Bayer,Judd Apatow,no,125.0,Comedy,Universal Pictures|Fuji Television Network|Dentsu|Apatow Productions,7,2015,32199985.0,129532072.0,97332087.0
Eye in the Sky,Helen Mirren|Aaron Paul|Alan Rickman|Iain Glen|Barkhad Abdi,Gavin Hood,no,102.0,Drama,Entertainment One|Moonlighting Films|Raindog Films,9,2015,11959994.0,30220316.0,18260322.0
Legend,Tom Hardy|Emily Browning|Christopher Eccleston|David Thewlis|Taron Egerton,Brian Helgeland,no,131.0,Crime,Working Title Films|Cross Creek Pictures|Anton Capital Entertainment (ACE),9,2015,22999989.0,39535137.0,16535148.0
Beyond the Reach,Michael Douglas|Jeremy Irvine|Hanna Mangan Lawrence|Ronny Cox|Martin Palmer,Jean-Baptiste LÃ©onetti,no,95.0,Thriller,Furthur Films,4,2015,21307490.712324023,42223.0,-21265267.712324023
Pan,Levi Miller|Garrett Hedlund|Hugh Jackman|Rooney Mara|Amanda Seyfried,Joe Wright,no,111.0,Adventure,Warner Bros.|Moving Picture Company (MPC)|Berlanti Productions|RatPac-Dune Entertainment,9,2015,137999939.0,118117202.0,-19882737.0
Mythica: The Darkspore,Melanie Stone|Kevin Sorbo|Adam Johnson|Jake Stormoen|Rocky Myers,Anne K. Black,no,108.0,Action,Arrowstorm Entertainment,6,2015,21307490.712324023,63624403.5851604,42316912.872836374
Me and Earl and the Dying Girl,Thomas Mann|RJ Cyler|Olivia Cooke|Connie Britton|Nick Offerman,Alfonso Gomez-Rejon,no,105.0,Comedy,Indian Paintbrush,6,2015,21307490.712324023,63624403.5851604,42316912.872836374
The Peanuts Movie,Noah Schnapp|Bill Melendez|Venus Schultheis|Hadley Belle Miller|Madisyn Shipman,Steve Martino,no,88.0,Adventure,Blue Sky Studios|Twentieth Century Fox Animation|Feigco Entertainment,11,2015,91079959.0,226534364.0,135454405.0
Concussion,Will Smith|Bitsie Tulloch|Gugu Mbatha-Raw|Alec Baldwin|Matthew Willig,Peter Landesman,no,123.0,Drama,Village Roadshow Pictures|Scott Free Productions|LStar Capital|The Cantillon Company|The Shuman Company,11,2015,32199985.0,44733666.0,12533681.0
The Night Before,Joseph Gordon-Levitt|Seth Rogen|Anthony Mackie|Lizzy Caplan|Jillian Bell,Jonathan Levine,no,100.0,Comedy,Sony Pictures|Point Grey Pictures|Good Universe,11,2015,22999989.0,48204295.0,25204306.0
Knock Knock,Keanu Reeves|Lorenza Izzo|Ana de Armas|Aaron Burns|Colleen Camp,Eli Roth,no,99.0,Drama,Universum Film (UFA)|Dragonfly Entertainment|Black Bear Pictures|Square One Entertainment|Sobras International Pictures,6,2015,2299998.0,4796917.0,2496919.0
The Longest Ride,Scott Eastwood|Britt Robertson|Lolita Davidovich|Melissa Benoist|Jack Huston,"George Tillman, Jr.",yes,128.0,Romance,Fox 2000 Pictures|Temple Hill Entertainment,4,2015,31279986.0,57972193.0,26692207.0
Hotel Transylvania 2,Adam Sandler|Andy Samberg|Selena Gomez|Kevin James|Steve Buscemi,Genndy Tartakovsky,no,89.0,Animation,Columbia Pictures|Sony Pictures Animation,9,2015,73599967.0,428888671.0,355288704.0
Love the Coopers,Steve Martin|Diane Keaton|John Goodman|Alan Arkin|Olivia Wilde,Jessie Nelson,no,107.0,Family,Imagine Entertainment|Groundswell Productions|CBS Films,11,2015,15639993.0,22079990.0,6439997.0
The Walk,Joseph Gordon-Levitt|Ben Kingsley|Charlotte Le Bon|Ben Schwartz|James Badge Dale,Robert Zemeckis,no,123.0,Adventure,TriStar Pictures|Sony Pictures Entertainment|ImageMovers,9,2015,32199985.0,56287361.0,24087376.0
Tracers,Marie Avgeropoulos|Taylor Lautner|Adam Rayner|Rafi Gavron|Sam Medina,Daniel Benmayor,no,94.0,Action,Temple Hill Entertainment|Senator Film|Freerunning|Melbarken|Saban Films,1,2015,10119995.0,1714249.0,-8405746.0
Vacation,Ed Helms|Christina Applegate|Skyler Gisondo|Steele Stebbins|Chris Hemsworth,John Francis Daley|Jonathan M. Goldstein,no,99.0,Adventure,New Line Cinema|BenderSpink|David Dobkin Productions,7,2015,28519987.0,96033410.0,67513423.0
Poltergeist,Sam Rockwell|Rosemarie DeWitt|Saxon Sharbino|Kyle Catlett|Kennedi Clements,Gil Kenan,no,93.0,Horror,Ghost House Pictures|Vertigo Entertainment|Metro-Goldwyn-Mayer (MGM)|TSG Entertainment,5,2015,32199985.0,87802915.0,55602930.0
Maggie,Arnold Schwarzenegger|Abigail Breslin|Joely Richardson|Laura Cayouette|J.D. Evermore,Henry Hobson,no,95.0,Horror,Lionsgate|Grindstone Entertainment Group|Silver Reel|Sly Predator|Matt Baer Films,5,2015,3679998.0,172142.0,-3507856.0
Equals,Kristen Stewart|Nicholas Hoult|Guy Pearce|Jacki Weaver|Bel Powley,Drake Doremus,no,101.0,Drama,Scott Free Productions|Infinite Frameworks Studios|Freedom Media|Route One Entertainment,9,2015,21307490.712324023,1839999.0,-19467491.712324023
Child 44,Tom Hardy|Gary Oldman|Noomi Rapace|Joel Kinnaman|Paddy Considine,Daniel Espinosa,no,137.0,Crime,Summit Entertainment|Scott Free Productions|Worldview Entertainment,3,2015,45999979.0,3058382.0,-42941597.0
The Gift,Jason Bateman|Rebecca Hall|Joel Edgerton|David Denman|Beau Knapp,Joel Edgerton,no,108.0,Thriller,Blumhouse Productions|Blue-Tongue Films|STX Entertainment|Ahimsa Films,7,2015,4599997.0,54260336.0,49660339.0
Daddy's Home,Will Ferrell|Mark Wahlberg|Linda Cardellini|Thomas Haden Church|Hannibal Buress,Sean Anders,no,96.0,Comedy,Paramount Pictures|Gary Sanchez Productions|Good Universe|Red Granite Pictures,12,2015,45999979.0,221131463.0,175131484.0
Mythica: The Necromancer,Melanie Stone|Adam Johnson|Kevin Sorbo|Nicola Posener|Jake Stormoen,A. Todd Smith,no,103.81513962612509,Fantasy,Arrowstorm Entertainment|Camera 40 Productions|Bellpond Films,12,2015,21307490.712324023,63624403.5851604,42316912.872836374
Vice,Ambyr Childers|Thomas Jane|Bryan Greenberg|Bruce Willis|Johnathon Schaech,Brian A Miller,no,96.0,Thriller,Grindstone Entertainment Group|K5 International|Emmett/Furla Films|Aperture Entertainment,1,2015,9199995.0,63624403.5851604,54424408.5851604
The Little Prince,Jeff Bridges|Rachel McAdams|Paul Rudd|Marion Cotillard|James Franco,Mark Osborne,no,92.0,Adventure,Onyx Films|Orange Studios|CityMation|On Entertainment|Zippcast Films,7,2015,58879974.0,89765510.0,30885536.0
Alvin and the Chipmunks: The Road Chip,Jason Lee|Justin Long|Bella Thorne|Matthew Gray Gubler|Jesse McCartney,Walt Becker,no,92.0,Adventure,Regency Enterprises|Fox 2000 Pictures|Sunswept Entertainment|Bagdasarian Productions|TSG Entertainment,12,2015,21307490.712324023,215055014.0,193747523.28767598
The Dressmaker,Kate Winslet|Liam Hemsworth|Caroline Goodall|Judy Davis|Hayley Magnus,Jocelyn Moorhouse,yes,118.0,Drama,Amazon Studios|Film Art Media|Apollo Media,10,2015,10975595.0,16872792.0,5897197.0
The DUFF,Mae Whitman|Robbie Amell|Bella Thorne|Bianca A. Santos|Skyler Samuels,Ari Sandel,no,100.0,Romance,Wonderland Sound and Vision|CBS Films|Vast Entertainment,2,2015,7819996.0,40046325.0,32226329.0
Sinister 2,Shannyn Sossamon|James Ransone|Tate Ellington|Nicholas King|Lucas Jade Zumann,Ciaran Foy,no,97.0,Horror,Alliance Films|Blumhouse Productions|IM Global|Automatik Entertainment|Entertainment One,8,2015,9199995.0,48651435.0,39451440.0
Paul Blart: Mall Cop 2,Kevin James|Raini Rodriguez|Eduardo VerÃ¡stegui|Daniella Alonso|Neal McDonough,Andy Fickman,no,94.0,Action,Columbia Pictures|Happy Madison Productions|Sony Pictures Releasing|Sony Pictures Home Entertainment|Sony Pictures Entertainment (SPE),4,2015,27599987.0,98989419.0,71389432.0
Frozen Fever,Kristen Bell|Idina Menzel|Jonathan Groff|Josh Gad|Chris Williams,Chris Buck|Jennifer Lee,no,8.0,Adventure,Walt Disney Pictures|Walt Disney Animation Studios,3,2015,21307490.712324023,63624403.5851604,42316912.872836374
High-Rise,Tom Hiddleston|Sienna Miller|Jeremy Irons|Luke Evans|Elisabeth Moss,Ben Wheatley,no,119.0,Action,Ingenious Media|HanWay Films|Scope Pictures|Recorded Picture Company (RPC)|Northern Ireland Screen,9,2015,21307490.712324023,63624403.5851604,42316912.872836374
The Boy Next Door,Jennifer Lopez|Ryan Guzman|Ian Nelson|John Corbett|Kristin Chenoweth,Rob Cohen,no,91.0,Thriller,Universal Pictures|Nuyorican Productions|Blumhouse Productions|Smart Entertainment,1,2015,3679998.0,46150034.0,42470036.0
Spooks: The Greater Good,Peter Firth|Kit Harington|Jennifer Ehle|Lara Pulver|Elyes Gabel,Bharat Nalluri,no,104.0,Thriller,BBC Films|Isle of Man Film|Shine Pictures|Kudos Film and Television|Pinewood Pictures,4,2015,21307490.712324023,63624403.5851604,42316912.872836374
Entourage,Jeremy Piven|Adrian Grenier|Jerry Ferrara|Kevin Connolly|Kevin Dillon,Doug Ellin,no,104.0,Comedy,Warner Bros.|Closest to the Hole Productions,6,2015,27599987.0,45322311.0,17722324.0
The Wedding Ringer,Kevin Hart|Josh Gad|Kaley Cuoco|Affion Crockett|Jorge Garcia,Jeremy Garelick,no,101.0,Comedy,Miramax Films|Screen Gems|LStar Capital,1,2015,21159990.0,73415857.0,52255867.0
Scouts Guide to the Zombie Apocalypse,Tye Sheridan|Logan Miller|Joey Morgan|Sarah Dumont|David Koechner,Christopher B. Landon,no,93.0,Comedy,Paramount Pictures|Oops Doughnuts Productions|Broken Road Productions|Brucks Entertainment,10,2015,13799993.0,13671898.0,-128095.0
The Visit,Olivia DeJonge|Ed Oxenbould|Kathryn Hahn|Benjamin Kanes|Deanna Dunagan,M. Night Shyamalan,no,94.0,Horror,Blumhouse Productions|Blinding Edge Pictures,9,2015,4599997.0,90574017.0,85974020.0
